annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Marrow.late pro-B cell,4.125240933685303e-6,-7.131198558707474e-5,2.211916907045503,0.054684419403337736,0.5924463143017109,2,-29336.276491782635,58678.55298356527,58701.030052833674,64855.99280709915,13256,-0.02399626115430276,0.10261521916272123,0.8151073713965781,FALSE
Marrow.Slamf1-positive multipotent progenitor cell,4.837024396250289e-6,-7.060014842941165e-5,2.211916119839178,0.06411990554624125,0.5999485774116635,2,-29336.271773348915,58678.54354669783,58701.020615966234,64855.94664348559,13256,-0.026153669923198616,0.10328474969995227,0.800102845176673,FALSE
Bladder.bladder cell,7.198344757695653e-6,-6.823864993554807e-5,2.2119135083037187,0.09542194498807105,0.6213004581406005,2,-29336.25612006204,58678.51224012408,58700.989309392484,64855.793497077444,13256,-0.03015607455251024,0.09762266876669536,0.7573990837187989,FALSE
Marrow.basophil,7.98276206906804e-6,-6.745417344977689e-5,2.21191264076568,0.10582033872615204,0.6275205622366015,2,-29336.250920120212,58678.501840240424,58700.97890950883,64855.74262270407,13256,-0.05513410106268393,0.16948673921758342,0.7449588755267971,FALSE
Spleen.macrophage,8.155881625217218e-6,-6.728104083397746e-5,2.211912449301476,0.10811524859904889,0.6288473097782473,2,-29336.24977250142,58678.49954500284,58700.97661427124,64855.73139481706,13256,-0.05274046644129381,0.1603985695112788,0.7423053804435054,FALSE
Mammary_Gland.basal cell,1.5201785480320009e-5,-6.0234605453235446e-5,2.2119046567629677,0.2015179317594911,0.6732471333987484,2,-29336.203064659265,58678.40612931853,58700.88319858693,64855.2744238422,13256,-0.04074271245395707,0.0907597080612064,0.653505733202503,FALSE
Marrow.granulocyte monocyte progenitor cell,1.5997894833254477e-5,-5.94384360437239e-5,2.2119037762904155,0.2120714866069612,0.677421914757711,2,-29336.197787168043,58678.395574336086,58700.87264360449,64855.22279116674,13256,-0.05315759178036984,0.11543145164888058,0.645156170484578,FALSE
Skin.keratinocyte stem cell,2.0987368675808728e-5,-5.444858580760936e-5,2.211898258077235,0.2782143981546655,0.7010586068262018,2,-29336.16471133428,58678.32942266856,58700.806491936964,64854.89919255217,13256,-0.0510078716006961,0.09670465975048868,0.5978827863475964,FALSE
Lung.natural killer cell,2.2213414936160967e-5,-5.3222447057299505e-5,2.2118969021035673,0.2944675695240569,0.706309574543962,2,-29336.156583698063,58678.313167396125,58700.79023666453,64854.81967577671,13256,-0.09171683593262829,0.1690169763367637,0.587380850912076,FALSE
Brain_Myeloid.microglial cell,2.8626317964075425e-5,-4.680906025567033e-5,2.211889809594477,0.37948133408511475,0.7310542372491509,2,-29336.11407148323,58678.22814296646,58700.70521223486,64854.40375886829,13256,-0.06658951752017091,0.10809625768305828,0.5378915255016982,FALSE
