gwas,specificity_id,annotation,tau,se,pvalue
BMI_UKBB_Loh2018,mousebrain190306,MEINH6,1.2608236886346996e-08,6.334286126998574e-09,0.023269328860030757
BMI_UKBB_Loh2018,mousebrain190306,DGGRC1,8.679395398739745e-09,4.367069010976775e-09,0.023435463303581105
BMI_UKBB_Loh2018,mousebrain190306,PSPEP3,9.969126135130164e-09,5.1384162882625286e-09,0.02618276765750473
BMI_UKBB_Loh2018,mousebrain190306,HYPEP5,1.1459651911268418e-08,5.9777179663723115e-09,0.02761507076853051
BMI_UKBB_Loh2018,mousebrain190306,ENT9,8.403120833595308e-09,4.3901265210811625e-09,0.02780398571655617
BMI_UKBB_Loh2018,mousebrain190306,TEGLU12,7.388614479818559e-09,3.868359960180885e-09,0.02806582522411917
BMI_UKBB_Loh2018,mousebrain190306,DEINH1,8.460841255968355e-09,4.474961792113988e-09,0.02933173866775741
BMI_UKBB_Loh2018,mousebrain190306,HYPEP3,1.0027652072594084e-08,5.305881920387423e-09,0.029384837949887613
BMI_UKBB_Loh2018,mousebrain190306,MEGLU5,1.1321855692460756e-08,5.997658400241807e-09,0.029532267926295926
BMI_UKBB_Loh2018,mousebrain190306,SCGLU3,1.845697652067877e-08,9.833710163236787e-09,0.030265301612193925
BMI_UKBB_Loh2018,mousebrain190306,HBGLU7,8.636095254739308e-09,4.604947680436222e-09,0.03036921020814088
BMI_UKBB_Loh2018,mousebrain190306,TEINH16,8.059859678132128e-09,4.329104767272783e-09,0.031316743843355074
BMI_UKBB_Loh2018,mousebrain190306,PSPEP1,9.176966015854696e-09,4.9387888920392875e-09,0.03157449856582783
BMI_UKBB_Loh2018,mousebrain190306,TEINH2,9.620546464930072e-09,5.243519174894175e-09,0.033271374886525915
BMI_UKBB_Loh2018,mousebrain190306,TEINH5,1.0211831524235985e-08,5.605196566790692e-09,0.034238818042197534
BMI_UKBB_Loh2018,mousebrain190306,TEGLU7,7.128293211427546e-09,3.953259750552544e-09,0.03568286854441575
