gwas,specificity_id,annotation,q,h2g,h2g_se,prop_h2g,prop_h2g_se,enr,enr_se,enr_pval
BMI_UKBB_Loh2018,mousebrain,MEINH3,0,0.13130922153921099,0.004421667676154179,0.5187465225568739,0.0104491066327377,0.8487026698228729,0.0170954103995871,1.0977988591448198e-17
BMI_UKBB_Loh2018,mousebrain,MEINH3,1,0.0201102213170786,0.000702211590805209,0.0794468755034731,0.00161266769611001,1.0118825917121599,0.0205398935775508,0.5628139852042571
BMI_UKBB_Loh2018,mousebrain,MEINH3,2,0.0419394343243685,0.00137673523550039,0.165684751297318,0.00271297517553587,1.17145443201687,0.0191817700086966,1.02285658362212e-17
BMI_UKBB_Loh2018,mousebrain,MEINH3,3,0.0343413897564963,0.0013609629458631199,0.135668129832246,0.00388974478176124,1.3362158414308603,0.0383106821251178,1.2438324122902899e-17
BMI_UKBB_Loh2018,mousebrain,MEINH3,4,0.018173922603672,0.0009607984354424259,0.07179738819072501,0.00326069574389433,1.46376844448955,0.0664773978172438,6.42817793148311e-12
BMI_UKBB_Loh2018,mousebrain,MEINH3,5,0.00725371749938782,0.000471975239123137,0.028656332619363997,0.00166989706362811,1.5704864772268199,0.0915173198058348,9.220465490494e-10
RA_Okada2014,mousebrain,MEINH3,0,0.0682373130783032,0.007146651115014771,0.46580326256989396,0.0287697928138581,0.7620840918734669,0.0470692311362826,2.62231091248521e-06
RA_Okada2014,mousebrain,MEINH3,1,0.0122982040098862,0.00114033042163162,0.0839503094880297,0.00443026390978149,1.06924100163098,0.0564264723891194,0.21278018441637603
RA_Okada2014,mousebrain,MEINH3,2,0.0243470265453969,0.0023808888742396198,0.16619828488422198,0.00771710285549415,1.17508531048733,0.0545628627354859,0.00203597839926154
RA_Okada2014,mousebrain,MEINH3,3,0.0227862286029282,0.0024416535433684898,0.155543926718331,0.0105784590254165,1.5319755581240002,0.10418883598651299,2.0424622272084097e-06
RA_Okada2014,mousebrain,MEINH3,4,0.0131621132927591,0.00168012635453304,0.0898475487604034,0.00867175350345025,1.83176589015817,0.17679527705134498,1.0656493816716001e-05
RA_Okada2014,mousebrain,MEINH3,5,0.00566296404539344,0.00083631199829449,0.0386566675791195,0.00461444474255624,2.11854651793914,0.252890806522743,3.68608213503804e-05
