specificity_id,annotation_prefix,annotation,annotation_fmt,annotation_marker,taxonomy_lvl2,Notes
moffitt2018,POA,e6_Nos1_Trp73,POA-NEURO19,Nos1/Trp73,Neuron,
moffitt2018,POA,e7_Reln_C1ql1,POA-NEURO20,Reln/C1ql1,Neuron,
moffitt2018,POA,e8_Cck_Ebf3,POA-NEURO21,Cck/Ebf3,Neuron,
moffitt2018,POA,e9_Glut_Tcf7l2,POA-NEURO22,Glut/Tcf7l2,Neuron,
moffitt2018,POA,Endothelial_1,POA-EPI1,,Epithelial,
moffitt2018,POA,Endothelial_2,POA-EPI2,,Epithelial,
moffitt2018,POA,Endothelial_3,POA-EPI3,,Epithelial,
moffitt2018,POA,Ependymal_1,POA-EPENDY1,,Ependymal,
moffitt2018,POA,Fibroblast_1,POA-FIBRO1,,Fibroblast,fibroblast
moffitt2018,POA,h1_Gaba_Slc17a6,POA-NEURO23,Gaba/Slc17a6,Neuron,
moffitt2018,POA,h2_Nts_Slc17a8,POA-NEURO24,Nts/Slc17a8,Neuron,
moffitt2018,POA,h3_Slc32a1_Gsc,POA-NEURO25,Slc32a1/Gsc,Neuron,
moffitt2018,POA,i1_Gaba,POA-NEURO26,Gaba,Neuron,
moffitt2018,POA,i10_Tac1_Nts,POA-NEURO27,Tac1/Nts,Neuron,
moffitt2018,POA,i11_Gaba,POA-NEURO28,Gaba,Neuron,
moffitt2018,POA,i12_Gaba,POA-NEURO29,Gaba,Neuron,
moffitt2018,POA,i13_Gaba,POA-NEURO30,Gaba,Neuron,
moffitt2018,POA,i14_Avp_Cck,POA-NEURO31,Avp/Cck,Neuron,
moffitt2018,POA,i15_Gaba,POA-NEURO32,Gaba,Neuron,
moffitt2018,POA,i16_Gal_Th,POA-NEURO33,Gal/Th,Neuron,
moffitt2018,POA,i17_Th_Nos1,POA-NEURO34,Th/Nos1,Neuron,
moffitt2018,POA,i18_Gal_Tac2,POA-NEURO35,Gal/Tac2,Neuron,
moffitt2018,POA,i2_Tac1_Pdyn,POA-NEURO36,Tac1/Pdyn,Neuron,
moffitt2018,POA,i20_Gal_Moxd1,POA-NEURO37,Gal/Moxd1,Neuron,
moffitt2018,POA,i21_Sst_Pou3f3,POA-NEURO38,Sst/Pou3f3,Neuron,
moffitt2018,POA,i22_Gal_Pmaip1,POA-NEURO39,Gal/Pmaip1,Neuron,
moffitt2018,POA,i23_Crh_Nts,POA-NEURO40,Crh/Nts,Neuron,
moffitt2018,POA,i24_Nmu,POA-NEURO41,Nmu,Neuron,
moffitt2018,POA,i25_Npy_Etv1,POA-NEURO42,Npy/Etv1,Neuron,
moffitt2018,POA,i26_Tac1_Prok2,POA-NEURO43,Tac1/Prok2,Neuron,
moffitt2018,POA,i27_Th_Trh,POA-NEURO44,Th/Trh,Neuron,
moffitt2018,POA,i28_Gaba_Six6,POA-NEURO45,Gaba/Six6,Neuron,
moffitt2018,POA,i29_Gaba_Igsf1,POA-NEURO46,Gaba/Igsf1,Neuron,
moffitt2018,POA,i3_Penk_Nts,POA-NEURO47,Penk/Nts,Neuron,
moffitt2018,POA,i30_Vip,POA-NEURO48,Vip,Neuron,
moffitt2018,POA,i31_Calca,POA-NEURO49,Calca,Neuron,
moffitt2018,POA,i32_Sst_Npy,POA-NEURO50,Sst/Npy,Neuron,
moffitt2018,POA,i35_Crh_Tac2,POA-NEURO51,Crh/Tac2,Neuron,
moffitt2018,POA,i37_Bdnf_Chrm2,POA-NEURO52,Bdnf/Chrm2,Neuron,
moffitt2018,POA,i38_Kiss1_Th,POA-NEURO53,Kiss1/Th,Neuron,
moffitt2018,POA,i39_Gaba,POA-NEURO54,Gaba,Neuron,
