Annotation,Coefficient p-value,Coefficient,Coefficient std error,Annotation size,h2g prop.,h2g enrichment,h2g enrichment P-value
HBGLU4,0.14093724112,6.58221617913e-9,6.11663044523e-9,NA,NA,NA,NA
PSPEP5,0.148720739754,6.4099130141e-9,6.15192747389e-9,NA,NA,NA,NA
HYPEP7,0.149252633993,6.72737121403e-9,6.47084039913e-9,NA,NA,NA,NA
SCGLU10,0.149623823084,5.98960206402e-9,5.77006197059e-9,NA,NA,NA,NA
PSNP6,0.15224896356,4.79719089723e-9,4.67182023586e-9,NA,NA,NA,NA
SCINH1,0.154675269916,6.67725004888e-9,6.56830975874e-9,NA,NA,NA,NA
HBGLU10,0.165840980579,4.37832542234e-9,4.51033582165e-9,NA,NA,NA,NA
CBINH2,0.16687714234,6.04454314099e-9,6.25353953323e-9,NA,NA,NA,NA
OBDOP1,0.170974616868,5.54100786356e-9,5.83067045462e-9,NA,NA,NA,NA
PSPEP8,0.172385999477,5.69395725244e-9,6.02676456803e-9,NA,NA,NA,NA
OBINH1,0.176481512896,5.78189306065e-9,6.22473746676e-9,NA,NA,NA,NA
TEGLU16,0.183841973158,4.22546778367e-9,4.69068962566e-9,NA,NA,NA,NA
CBNBL1,0.217540052303,4.4673454956e-9,5.7234910525e-9,NA,NA,NA,NA
TEINH21,0.21785774898,3.89423681922e-9,4.99614312391e-9,NA,NA,NA,NA
MSN3,0.249119875109,2.40213219599e-9,3.54682866191e-9,NA,NA,NA,NA
OBNBL5,0.258525030627,3.65755928578e-9,5.64525859407e-9,NA,NA,NA,NA
TEINH6,0.269479182864,3.37020325206e-9,5.48545591391e-9,NA,NA,NA,NA
HBINH1,0.300736311731,3.27052163286e-9,6.26196049491e-9,NA,NA,NA,NA
DEGLU2,0.301049369571,2.3515587271e-9,4.51021728041e-9,NA,NA,NA,NA
MEINH5,0.31022831892,2.35499124991e-9,4.75560514318e-9,NA,NA,NA,NA
SCINH6,0.330756930392,2.10473539097e-9,4.80726346196e-9,NA,NA,NA,NA
OBINH3,0.333412289255,2.1941830691e-9,5.09670451248e-9,NA,NA,NA,NA
PSNP1,0.335014181766,1.89527556017e-9,4.44786474974e-9,NA,NA,NA,NA
SCGLU9,0.340025167254,2.39835857091e-9,5.81569078658e-9,NA,NA,NA,NA
