Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,annotation,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
Lung - unknown cell type,0.5863555808835949,-1.5661786030901925e-9,7.178377185189536e-9,FALSE,Lung.unknown_cell_type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pancreas - leukocyte,0.5886725395959596,-1.7177766282593443e-9,7.664143688153526e-9,FALSE,Pancreas.leukocyte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liver - natural killer cell,0.6272998712221747,-2.2514643706048496e-9,6.933761046212217e-9,FALSE,Liver.natural_killer_cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammary Gland - luminal epithelial cell of mammary gland,0.6477737615430627,-1.7330248240973133e-9,4.568803462249881e-9,FALSE,Mammary_Gland.luminal_epithelial_cell_of_mammary_gland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kidney - macrophage,0.6481912535435104,-2.8523501799493393e-9,7.49746793870328e-9,FALSE,Kidney.macrophage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skin - keratinocyte stem cell,0.6502235851300244,-2.004450951187554e-9,5.193898459448768e-9,FALSE,Skin.keratinocyte_stem_cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fat - mesenchymal stem cell of adipose,0.6664120473573988,-1.8472324886032805e-9,4.2956184721770026e-9,FALSE,Fat.mesenchymal_stem_cell_of_adipose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lung - classical monocyte,0.6694123351731632,-3.116985052536573e-9,7.1116789081598725e-9,FALSE,Lung.classical_monocyte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachea - epithelial cell,0.6745657441220889,-1.9328449157990207e-9,4.2709522249878106e-9,FALSE,Trachea.epithelial_cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marrow - immature natural killer cell,0.6795344692803429,-3.081284756762473e-9,6.606564825062364e-9,FALSE,Marrow.immature_natural_killer_cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marrow - granulocyte monocyte progenitor cell,0.6810197679173641,-2.5124568984318025e-9,5.339378422441114e-9,FALSE,Marrow.granulocyte_monocyte_progenitor_cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heart - myofibroblast cell,0.6811885123140246,-2.2885696432452166e-9,4.858702356688019e-9,FALSE,Heart.myofibroblast_cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brain - macrophage,0.7000264904695372,-3.4303771570456757e-9,6.54057107535644e-9,FALSE,Brain_Myeloid.macrophage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
