tissue_celltype,tissue,cell_type,n_cells,annotation,color_by_variable,annotation_fmt,DET,GES,NSI,EP,ESmu,N_cells_es
Skin.basal_cell_of_epidermis,Skin,basal cell of epidermis,562,Skin.basal_cell_of_epidermis,Skin,Skin - basal cell of epidermis,3727,3056,1221,1678,4233,562
Skin.epidermal_cell,Skin,epidermal cell,276,Skin.epidermal_cell,Skin,Skin - epidermal cell,4184,4151,1064,1660,4816,276
Skin.keratinocyte_stem_cell,Skin,keratinocyte stem cell,1404,Skin.keratinocyte_stem_cell,Skin,Skin - keratinocyte stem cell,4157,2868,1373,2119,4720,1404
Skin.leukocyte,Skin,leukocyte,15,Skin.leukocyte,Skin,Skin - leukocyte,1350,1310,137,630,1859,15
Skin.stem_cell_of_epidermis,Skin,stem cell of epidermis,53,Skin.stem_cell_of_epidermis,Skin,Skin - stem cell of epidermis,3449,3331,474,1075,4192,53
Spleen.B_cell,Spleen,B cell,1297,Spleen.B_cell,Spleen,Spleen - B cell,1915,901,861,1546,2520,1297
Spleen.macrophage,Spleen,macrophage,48,Spleen.macrophage,Spleen,Spleen - macrophage,1218,665,404,843,1400,48
Spleen.T_cell,Spleen,T cell,352,Spleen.T_cell,Spleen,Spleen - T cell,1823,831,808,1262,2224,352
Thymus.DN1_thymic_pro-T_cell,Thymus,DN1 thymic pro-T cell,32,Thymus.DN1_thymic_pro-T_cell,Thymus,Thymus - DN1 thymic pro-T cell,1309,591,484,731,1454,32
Thymus.immature_T_cell,Thymus,immature T cell,1277,Thymus.immature_T_cell,Thymus,Thymus - immature T cell,3030,1329,845,1957,3480,1277
Thymus.leukocyte,Thymus,leukocyte,40,Thymus.leukocyte,Thymus,Thymus - leukocyte,1137,611,323,716,1409,40
Tongue.basal_cell_of_epidermis,Tongue,basal cell of epidermis,1086,Tongue.basal_cell_of_epidermis,Tongue,Tongue - basal cell of epidermis,6031,6685,1524,2594,7151,1086
Tongue.keratinocyte,Tongue,keratinocyte,330,Tongue.keratinocyte,Tongue,Tongue - keratinocyte,4312,4707,1123,1664,5250,330
Trachea.blood_cell,Trachea,blood cell,206,Trachea.blood_cell,Trachea,Trachea - blood cell,2536,1983,733,1168,2988,206
Trachea.endothelial_cell,Trachea,endothelial cell,113,Trachea.endothelial_cell,Trachea,Trachea - endothelial cell,2437,1652,815,1497,2752,113
Trachea.epithelial_cell,Trachea,epithelial cell,201,Trachea.epithelial_cell,Trachea,Trachea - epithelial cell,1827,1718,934,2486,2855,201
Trachea.mesenchymal_cell,Trachea,mesenchymal cell,830,Trachea.mesenchymal_cell,Trachea,Trachea - mesenchymal cell,4067,3907,1594,2320,4819,830
