DEGLU4	DEGLU5	DEINH3	MEGLU1	MEGLU10	MEGLU11	MEINH2	TEGLU17	TEGLU23	TEGLU4	TEINH12
palevioletred1	4.87389008550696e-09	0.000239380536461478	8.64859666756198e-05	6.06976448024822e-05	0.0172185016341876	0.000553619615610787	8.45357993266868e-05	0.00020385808337823	0.0091366080984001	9.16542241428139e-06	0.00160732774781057
peachpuff4	1.24866523667271e-07	7.19934065251955e-05	0.00126593187640928	0.000171238859894314	0.00109435585036152	0.00455671367846402	0.000318933251732668	0.00652421751812728	0.0065966089837156	0.000948961414711431	0.000130391773789829
pink4	1.00711130437037e-07	0.000297808920081528	0.000107723667986391	0.000126651034204149	0.0438734216883316	0.000690035752074986	0.000244407653382827	3.48065345618884e-05	0.0012091484281395	6.50486744795932e-06	0.00218340864021739
plum	1.91480914047444e-05	9.97215418063814e-05	0.000147885327745311	0.000137390059087268	2.9885914752934e-05	0.00116351313539176	5.30178165951641e-05	0.00327785943313091	0.0216484539137644	0.000188208795758159	0.00792108113954343
purple2	3.44921918155722e-09	7.74192483202564e-08	9.85839429059917e-07	1.26260365941365e-08	2.66044983854031e-09	1.65834314371828e-09	3.545047814793e-07	2.8401393209162e-06	5.60693981551752e-06	0.000214478057427399	1.04500953197786e-07
salmon3	9.83696595998649e-08	0.000396997127488733	2.39266738836851e-05	8.32148659456981e-05	0.000447187108503006	0.000435492105478544	3.32751841252952e-06	0.000594397218526282	2.78754295911304e-05	1.05558276589018e-05	1.12715182194408e-06
snow4	2.7321362839719e-11	9.48207724167633e-07	9.82246690484721e-08	3.65981463938114e-06	2.97815550671747e-06	1.51208107638584e-06	1.8406553840208e-08	0.000391435066155966	7.17516088585869e-05	0.000239765151465765	1.7333246159554e-06
springgreen1	1.37603616148047e-08	0.000125443962097215	0.000122719736877138	0.000222638630381225	2.33395266320962e-06	7.72969469176113e-05	0.00010072686876319	0.00203530226826353	0.000218632646658686	0.00159579790521129	0.00200440599414965
steelblue	2.32662550459557e-16	3.31651583191513e-11	4.45286493014501e-14	6.63394683380701e-14	1.82370668895679e-07	1.80724680880549e-12	6.88948723500005e-17	1.8466013854228e-05	7.38979592645374e-09	3.89490579347077e-11	7.29215620668792e-12
thistle3	0.00104333568272037	0.0101593893010883	0.0152450314386472	0.0376320289876317	0.00705993370658003	0.000635447338392182	0.0105000928756376	0.0869685684824269	0.0279123539889588	0.0766043965918253	0.0358920323126108
