dataset,annotation,turcot2018_s21_mendelian_obesity_genes.mapped,turcot2018_table1_rare_variants.mapped,yazdi2015_table1_mouse_obesity_genes.mapped,human_psd_genes.pers_hmg2016_table_s12,mouse_psd_genes.pers_hmg2016_table_s13,combined_rare_mendelian_obesity,locke_nearest,locke_associated
Mousebrain,SCHW,0.851669177965137,0.69208131624349,0.110045113063847,1.05936164546211e-10,6.45920455481054e-5,0.856848168361701,0.831694232161677,0.978102129933746
Mousebrain,SCINH1,8.34632027047442e-5,0.139980865271561,0.00301044715659011,9.81433019496892e-53,4.79928777584369e-48,3.00399373821977e-5,0.0481694924914227,0.0120145100731736
Mousebrain,SCINH10,0.471878268849372,0.0624205005873483,0.191038754723822,1.84128501153727e-30,9.83377835991183e-29,0.284363850361278,0.19509232688626,0.360741900641562
Mousebrain,SCINH11,0.311246583285681,0.697197000945873,0.460876242783604,1.26833336213146e-7,2.62795421503341e-7,0.385068696138872,0.768090465308951,0.627140731809288
Mousebrain,SCINH2,0.0957653401068982,0.00564989824469932,0.0683134374619131,9.22078094234192e-55,1.96052588273525e-54,0.0330100614029007,0.00374443226086385,3.48484232473952e-4
Mousebrain,SCINH3,0.145386646196656,0.00831105236183356,0.516368570265617,5.81407350179194e-19,3.97160117092921e-23,0.0323518298295021,0.0583624118513162,0.44902431619106
Mousebrain,SCINH4,0.0131679501715422,0.321230975895225,0.0356987877637688,5.25150023502333e-12,3.75527898233441e-17,0.0101113370825735,0.134571672991641,0.245475631052393
Mousebrain,SCINH5,0.171263125709408,0.134342346220946,0.636519717021339,8.93027256271001e-52,1.14324297941621e-48,0.0595926901505262,0.605016035509839,0.375418843706492
Mousebrain,SCINH6,0.471299410059754,0.876621932245431,0.657695195054095,3.18916923262962e-21,1.45792260069704e-22,0.640018027193785,0.670561163740953,0.544917669320379
Mousebrain,SCINH7,0.519519112369946,0.376856671536752,0.322154723303495,2.93961185169034e-13,2.54374698496858e-13,0.407744749604616,0.529254696375364,0.0576813696645301
Mousebrain,SCINH8,0.218001166126871,0.0675600601069736,0.318419854384141,6.46898791991141e-7,8.28668077561613e-9,0.117171906520183,0.325973043907092,0.0245441565175707
Mousebrain,SCINH9,0.463860783498066,0.0206876694424806,0.72742979691292,4.75671520035366e-7,9.214919878994e-12,0.221918198975547,0.443853020666985,0.302543446365029
Mousebrain,SEPNBL,0.0299320395476576,0.114171337106652,0.429941163463617,1.17141307364169e-45,3.91590967482518e-52,0.00829806655660035,0.403703191074368,0.714443675288322
Mousebrain,SYCHO1,0.253036900854087,0.68824813796966,0.649547550321423,1.22722424213453e-27,8.46561759175609e-16,0.304284573746452,0.79358362625869,0.807954907119418
Mousebrain,SYCHO2,0.580521859138429,0.30545582554913,0.48351919458892,1.16739079226616e-26,3.51446408661893e-15,0.54661035219869,0.538286143001855,0.812199159883138
Mousebrain,SYNOR1,0.462754269488203,0.629710730885014,0.817661208920625,3.71496465148198e-20,1.50464409243514e-11,0.453681213503853,0.718124607479626,0.871473107553533
Mousebrain,SYNOR2,0.605167805435281,0.59423816044102,0.857398214693073,3.80903931043811e-25,4.1274622267517e-15,0.563912811608439,0.549380440276204,0.678940634317905
Mousebrain,SYNOR3,0.429842570466702,0.704126467475546,0.913221410105882,4.21601642234256e-20,2.34760284435765e-12,0.449284556419615,0.767545541286554,0.932155946070467
Mousebrain,SYNOR4,0.564571586662222,0.587467714114244,0.965535746106834,4.8105232939372e-20,1.00431431764916e-11,0.512003256563637,0.488146946892293,0.717449395156825
Mousebrain,SYNOR5,0.615330563977424,0.433100096375854,0.93694589575638,6.57838332945186e-26,7.31226505821116e-11,0.50808412576278,0.495709722475438,0.851136974551469
Mousebrain,SZNBL,0.544650842438892,0.917767595562723,0.998657741737362,0.992413158868973,0.994794220730809,0.738474894208934,0.578548565558729,0.653143736469026
Mousebrain,TECHO,0.240867573221053,0.26922184317335,0.23264949092667,3.59764790760346e-46,6.35346848412938e-42,0.197806544452186,0.0153950822392924,0.167454185743428
Mousebrain,TEGLU1,0.00347446177494287,0.140342895770185,0.266718159051945,8.6783773988025e-69,1.12982572682853e-72,0.00292692061511904,0.290876085040905,0.0483288527335084
