Name	Coefficient	Coefficient_std_error	Coefficient_P_value
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__tomato	3.65116836319e-09	1.96055148285e-08	0.42613153274
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__deeppink1	3.60036187951e-09	1.95655618284e-08	0.427000743149
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__khaki4	5.50584846016e-09	3.05516626485e-08	0.428492141017
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__orchid1	1.21941921548e-08	6.99196998997e-08	0.430774452951
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkgoldenrod	5.73453389491e-09	3.44614914743e-08	0.433919468991
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__deeppink	4.7152194473e-09	3.69950195821e-08	0.449289938062
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__chocolate4	2.15102958173e-09	1.70892490739e-08	0.449917280801
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__coral1	3.28971066064e-09	2.69113499509e-08	0.451353484872
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__dodgerblue2	7.69831315938e-09	6.51861495693e-08	0.452995251618
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightcyan2	6.70294812152e-09	6.66661548036e-08	0.459955831951
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__indianred4	7.35003679172e-09	7.78557114486e-08	0.462393373371
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__tan2	2.2497761299e-09	2.48633355257e-08	0.463950631569
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__black	2.55262879402e-09	3.68637142579e-08	0.472397292393
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__orange3	3.58169979212e-09	5.49862711975e-08	0.474032033133
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightsalmon1	1.67943209e-09	4.35701289317e-08	0.484626380212
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__maroon1	-1.51363442098e-09	3.58097913869e-08	0.516857763773
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__firebrick3	-1.30716186915e-09	2.76765167037e-08	0.518835040961
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightskyblue2	-1.48242814167e-09	2.70643590102e-08	0.521840815581
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightsteelblue4	-1.55903523329e-09	2.70716592822e-08	0.522962074205
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__maroon4	-2.11777127838e-09	2.48278368655e-08	0.533987862501
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__rosybrown3	-3.24683922768e-09	2.95907888617e-08	0.543686128419
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__yellowgreen	-5.45127410227e-09	4.3170090437e-08	0.550242611042
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__yellow4	-8.08577484975e-09	5.93595008344e-08	0.554175143297
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__chartreuse4	-7.95216329965e-09	5.22491635609e-08	0.560484199996
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__khaki3	-7.77184133887e-09	4.92200413307e-08	0.562732175455
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__gold2	-1.18353710088e-08	7.32179398417e-08	0.564207598003
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__whitesmoke	-6.5871248872e-09	3.87113937426e-08	0.567557786217
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__springgreen1	-3.51269524542e-09	1.99861702149e-08	0.569757297042
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__darkorchid2	-1.19074252128e-08	6.73426930862e-08	0.570174470324
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__cornsilk	-5.24539890304e-09	2.87879764964e-08	0.57229024271
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lawngreen	-6.57705819461e-09	3.45577123076e-08	0.575471198693
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__aquamarine2	-6.78252591196e-09	3.26904585547e-08	0.582181414673
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__limegreen	-3.29572791135e-09	1.39497051809e-08	0.593383719502
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__greenyellow	-1.86407352472e-08	7.72770996179e-08	0.595307460338
